Density: 0.91, dimension: 46800
Density: 0.91, dimension: 46900
Density: 0.91, dimension: 47000
Density: 0.91, dimension: 47100
Density: 0.91, dimension: 47200
Density: 0.91, dimension: 47300
Density: 0.91, dimension: 47400
Density: 0.91, dimension: 47500
Density: 0.91, dimension: 47600
Density: 0.91, dimension: 47700
Density: 0.91, dimension: 47800
Density: 0.91, dimension: 47900
Density: 0.91, dimension: 48000
Density: 0.91, dimension: 48100
Density: 0.91, dimension: 48200
Density: 0.91, dimension: 48300
Density: 0.91, dimension: 48400
Density: 0.91, dimension: 48500
Density: 0.92, dimension: 48600
Density: 0.92, dimension: 48700
Density: 0.92, dimension: 48800
Density: 0.92, dimension: 48900
Density: 0.92, dimension: 49000
Density: 0.92, dimension: 49100
Density: 0.92, dimension: 49200
Density: 0.92, dimension: 49300
Density: 0.92, dimension: 49400
Density: 0.92, dimension: 49500
Density: 0.92, dimension: 49600
Density: 0.92, dimension: 49700
Density: 0.92, dimension: 49800
Density: 0.92, dimension: 49900
Density: 0.92, dimension: 50000
Density: 0.92, dimension: 50100
Density: 0.92, dimension: 50200
Density: 0.92, dimension: 50300
Density: 0.92, dimension: 50400
Density: 0.92, dimension: 50500
Density: 0.92, dimension: 50600
Density: 0.92, dimension: 50700
Density: 0.92, dimension: 50800
Density: 0.92, dimension: 50900
Density: 0.92, dimension: 51000
Density: 0.92, dimension: 51100
Density: 0.92, dimension: 51200
Density: 0.92, dimension: 51300
Density: 0.92, dimension: 51400
Density: 0.92, dimension: 51500
Density: 0.92, dimension: 51600
Density: 0.92, dimension: 51700
Density: 0.92, dimension: 51800
Density: 0.92, dimension: 51900
Density: 0.92, dimension: 52000
Density: 0.92, dimension: 52100
Density: 0.92, dimension: 52200
Density: 0.92, dimension: 52300
Density: 0.92, dimension: 52400
Density: 0.92, dimension: 52500
Density: 0.92, dimension: 52600
Density: 0.92, dimension: 52700
Density: 0.92, dimension: 52800
Density: 0.92, dimension: 52900
Density: 0.92, dimension: 53000
Density: 0.92, dimension: 53100
Density: 0.92, dimension: 53200
Density: 0.92, dimension: 53300
Density: 0.92, dimension: 53400
Density: 0.92, dimension: 53500
Density: 0.92, dimension: 53600
Density: 0.92, dimension: 53700
Density: 0.92, dimension: 53800
Density: 0.92, dimension: 53900
Density: 0.92, dimension: 54000
Density: 0.92, dimension: 54100
Density: 0.92, dimension: 54200
Density: 0.92, dimension: 54300
Density: 0.92, dimension: 54400
Density: 0.92, dimension: 54500
Density: 0.92, dimension: 54600
Density: 0.92, dimension: 54700
Density: 0.92, dimension: 54800
Density: 0.92, dimension: 54900
Density: 0.92, dimension: 55000
Density: 0.92, dimension: 55100
Density: 0.92, dimension: 55200
Density: 0.92, dimension: 55300
Density: 0.92, dimension: 55400
Density: 0.92, dimension: 55500
Density: 0.92, dimension: 55600
Density: 0.92, dimension: 55700
Density: 0.92, dimension: 55800
Density: 0.92, dimension: 55900
Density: 0.92, dimension: 56000
Density: 0.92, dimension: 56100
Density: 0.92, dimension: 56200
Density: 0.92, dimension: 56300
Density: 0.92, dimension: 56400
Density: 0.92, dimension: 56500
Density: 0.92, dimension: 56600
Density: 0.92, dimension: 56700
Density: 0.92, dimension: 56800
Density: 0.92, dimension: 56900
Density: 0.92, dimension: 57000
Density: 0.92, dimension: 57100
Density: 0.92, dimension: 57200
Density: 0.92, dimension: 57300
Density: 0.92, dimension: 57400
Density: 0.93, dimension: 57500
Density: 0.93, dimension: 57600
Density: 0.93, dimension: 57700
Density: 0.93, dimension: 57800
Density: 0.93, dimension: 57900
Density: 0.93, dimension: 58000
Density: 0.93, dimension: 58100
Density: 0.93, dimension: 58200
Density: 0.93, dimension: 58300
Density: 0.93, dimension: 58400
Density: 0.93, dimension: 58500
Density: 0.93, dimension: 58600
Density: 0.93, dimension: 58700
Density: 0.93, dimension: 58800
Density: 0.93, dimension: 58900
Density: 0.93, dimension: 59000
Density: 0.93, dimension: 59100
Density: 0.93, dimension: 59200
Density: 0.93, dimension: 59300
Density: 0.93, dimension: 59400
Density: 0.93, dimension: 59500
Density: 0.93, dimension: 59600
Density: 0.93, dimension: 59700
Density: 0.93, dimension: 59800
Density: 0.93, dimension: 59900
Density: 0.93, dimension: 60000
Density: 0.93, dimension: 60100
Density: 0.93, dimension: 60200
Density: 0.93, dimension: 60300
Density: 0.93, dimension: 60400
Density: 0.93, dimension: 60500
Density: 0.93, dimension: 60600
Density: 0.93, dimension: 60700
Density: 0.93, dimension: 60800
Density: 0.93, dimension: 60900
Density: 0.93, dimension: 61000
Density: 0.93, dimension: 61100
Density: 0.93, dimension: 61200
Density: 0.93, dimension: 61300
Density: 0.93, dimension: 61400
Density: 0.93, dimension: 61500
Density: 0.93, dimension: 61600
Density: 0.93, dimension: 61700
Density: 0.93, dimension: 61800
Density: 0.93, dimension: 61900
Density: 0.93, dimension: 62000
Density: 0.93, dimension: 62100
Density: 0.93, dimension: 62200
Density: 0.93, dimension: 62300
